00035200264013   10
00011111065925   37
00023923330139   26
00208528800007   12
00759283100036   26
00074170388732   27
00070177154004   10
00051600080015   36
00019600923015   34
00688267141676   36
00657622604842   25
00074676640211   35
00603084234561   18
00041167300121   45
00079400847201   25
00792850014008   17
00088313590791   40
00021200725340   17
00041520035646   44
00204040000000   48
00753950001954   31
00016000288829   39
00070670009658   32
00688267084225   26
00044100117428   17
00300436344045   34
00024600017008   35
00719175900007   10
00013000001038   34
00723503568678   49
00652790100226   22
00008500004528   9
00071463060078   53
00312546628694   28
00033674100066   20
00610358991525   21
00073575295003   18
00030768540548   7
00028400029254   42
00042272008063   33
00031000670016   39
00883978129115   34
00071403000379   41
00026000001403   14
00038000542237   32
00035457770664   47
00884623708976   29
00079400271631   18
00062338879772   52
00047445919221   43
00041520314307   13
00015229375198   32
00036000141870   8
00789293900173   16
00817544011047   51
00073410032022   48
00032917001863   12
00075767200246   12
00008500001210   47
00899874002018   36
00021000028207   48
00011141100054   9
00688267038693   49
00763948042937   29
00688267078491   9
00041235000700   35
00804879349471   21
00044500976496   42
00050000127344   22
00041520313539   42
00380045410010   26
00305732871103   43
00736547211561   23
00731919138200   13
00037000835080   35
00888109110154   28
00015000005771   46
00097421490015   43
00878639000476   19
00688267130434   15
00637876989551   50
00022796910028   9
00011017405269   49
00022451017505   49
00011152817606   40
00216076400006   38
00688267136474   8
00086279036858   25
00021000611614   9
00311017235256   20
00047325077355   32
00182308000040   33
00090800000751   46
00041167023044   24
00016000164901   41
00698997807308   47
00162308001773   23
00857320002081   48
00041443902643   46
00021000023233   34
00046135116742   27
00047834063047   50
00051000143709   28
00025537999054   49
00041457272565   34
00688267123580   27
00041520893307   38
00078300098362   38
00034000003662   27
00019800702328   19
00075609190360   21
00816559011080   46
00717489901055   47
00608623000331   40
00044000030384   19
00041520019677   52
00305210269583   14
00031604027551   17
00853553002133   39
00028400033329   35
00020735420966   27
00307667630039   11
00072700104272   26
00047400302877   50
00296680000007   7
00041716842942   41
00070074586137   29
00015300430617   46
00616029012407   43
00688267139680   7
00641748624792   38
00050000301522   15
00716123124638   16
00093709300403   24
00098016322834   37
00688267136252   46
00610358991822   15
00028400162234   10
00074711545679   41
00208220500007   7
00027000419021   32
00041520880710   25
00744160220198   24
00048419063957   49
00048481009952   22
00072890000309   34
00070796300035   51
00041520874061   14
00033776100803   49
00045587547104   16
